1_id	1_span	1_anno_default_ns::lemma	1_anno_ptb::pos	2_id	2_span	2_anno_ptb::cat	3_id	3_span	3_anno_ptb::cat	4_id	4_span	4_anno_default_ns::lemma	4_anno_ptb::pos	meta_Author	meta_Birthdate	meta_Date_of_composition	meta_Filename	meta_Genre	meta_Manuscript
salt:/ppcmbe2/adams-1787-2#sTok5854	some	some	Q	salt:/ppcmbe2/adams-1787-2#structure3449	in some trees	PP	salt:/ppcmbe2/adams-1787-2#structure3450	some trees	NP	salt:/ppcmbe2/adams-1787-2#sTok5855	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok6094	all	all	Q	salt:/ppcmbe2/adams-1787-2#structure3599	in all trees	PP	salt:/ppcmbe2/adams-1787-2#structure3600	all trees	NP	salt:/ppcmbe2/adams-1787-2#sTok6095	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok6424	some	some	Q	salt:/ppcmbe2/adams-1787-2#structure3791	In some trees	PP	salt:/ppcmbe2/adams-1787-2#structure3792	some trees	NP	salt:/ppcmbe2/adams-1787-2#sTok6425	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok6842	every	every	Q	salt:/ppcmbe2/adams-1787-2#structure4030	The bark and the wood grow thicker every year , while 0 the pith , on the contrary , grows more slender , so that in a branch of one year it is of a larger size than 0 0 *T*-1 it is in the same branch when two years old , and so on .	IP-MAT	salt:/ppcmbe2/adams-1787-2#structure4036	every year	NP	salt:/ppcmbe2/adams-1787-2#sTok6843	year	year	N	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok7704	several	several	Q	salt:/ppcmbe2/adams-1787-2#structure4547	for several days	PP	salt:/ppcmbe2/adams-1787-2#structure4548	several days	NP	salt:/ppcmbe2/adams-1787-2#sTok7705	days	day	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok8858	Every	every	Q	salt:/ppcmbe2/adams-1787-2#structure5201	Every tree may be considered as consisting of $numerous {TEXT:numerou} concentric strata , or flakes , forming so many cones , inscribed one within the other , and whose number 0 *T*-1 is almost indefinite .	IP-MAT	salt:/ppcmbe2/adams-1787-2#structure5202	Every tree	NP	salt:/ppcmbe2/adams-1787-2#sTok8859	tree	tree	N	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok9529	any	any	Q	salt:/ppcmbe2/adams-1787-2#structure5589	of any substance	PP	salt:/ppcmbe2/adams-1787-2#structure5590	any substance	NP	salt:/ppcmbe2/adams-1787-2#sTok9530	substance	substance	N	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok10346	each	each	Q	salt:/ppcmbe2/adams-1787-2#structure6057	But besides the large crystals produced in this way , each salt is capable of producing a very different appearance of the crystalline kind , when 0 only a drop of the saline solution is made use of *-2 , and the crystallization viewed through a microscope .	IP-MAT	salt:/ppcmbe2/adams-1787-2#structure6063	each salt	NP	salt:/ppcmbe2/adams-1787-2#sTok10347	salt	salt	N	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok10607	all	all	Q	salt:/ppcmbe2/adams-1787-2#structure6211	otherwise all salts would crystallize in the same manner .	IP-MAT	salt:/ppcmbe2/adams-1787-2#structure6213	all salts	NP	salt:/ppcmbe2/adams-1787-2#sTok10608	salts	salt	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok10633	each	each	Q	salt:/ppcmbe2/adams-1787-2#structure6226	of each salt	PP	salt:/ppcmbe2/adams-1787-2#structure6227	each salt	NP	salt:/ppcmbe2/adams-1787-2#sTok10634	salt	salt	N	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/albin-1736-1#sTok4733	all	all	Q	salt:/ppcmbe2/albin-1736-1#structure2526	and all the house Spiders	CONJP	salt:/ppcmbe2/albin-1736-1#structure2527	all the house Spiders	NP	salt:/ppcmbe2/albin-1736-1#sTok4735	house	house	N	Albin, Eleazar 	b. ?, fl. 1713, d. 1759 	1736 	albin-1736 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/andrews1-1785-2#sTok453	all	all	Q	salt:/ppcmbe2/andrews1-1785-2#structure263	of all manner of regard and feeling for the Americans	PP	salt:/ppcmbe2/andrews1-1785-2#structure264	all manner of regard and feeling for the Americans	NP	salt:/ppcmbe2/andrews1-1785-2#sTok454	manner	manner	N	Andrews, John 	b. 1736, d. 1809 	1785-1786 	andrews1-1785 	HISTORY 	n/a 
salt:/ppcmbe2/andrews1-1785-2#sTok1293	any	any	Q	salt:/ppcmbe2/andrews1-1785-2#structure763	in any country in christendom	PP	salt:/ppcmbe2/andrews1-1785-2#structure764	any country in christendom	NP	salt:/ppcmbe2/andrews1-1785-2#sTok1294	country	country	N	Andrews, John 	b. 1736, d. 1809 	1785-1786 	andrews1-1785 	HISTORY 	n/a 
salt:/ppcmbe2/andrews1-1785-2#sTok3694	all	all	Q	salt:/ppcmbe2/andrews1-1785-2#structure2193	securing all its rights	IP	salt:/ppcmbe2/andrews1-1785-2#structure2194	all its rights	NP	salt:/ppcmbe2/andrews1-1785-2#sTok3696	rights	right	NS	Andrews, John 	b. 1736, d. 1809 	1785-1786 	andrews1-1785 	HISTORY 	n/a 
salt:/ppcmbe2/andrews1-1785-2#sTok4136	all	all	Q	salt:/ppcmbe2/andrews1-1785-2#structure2446	in all countries	PP	salt:/ppcmbe2/andrews1-1785-2#structure2447	all countries	NP	salt:/ppcmbe2/andrews1-1785-2#sTok4137	countries	country	NS	Andrews, John 	b. 1736, d. 1809 	1785-1786 	andrews1-1785 	HISTORY 	n/a 
salt:/ppcmbe2/andrews1-1785-2#sTok7145	all	all	Q	salt:/ppcmbe2/andrews1-1785-2#structure4180	*T*-2 all men are soldiers	IP	salt:/ppcmbe2/andrews1-1785-2#structure4181	all men	NP	salt:/ppcmbe2/andrews1-1785-2#sTok7146	men	man	NS	Andrews, John 	b. 1736, d. 1809 	1785-1786 	andrews1-1785 	HISTORY 	n/a 
salt:/ppcmbe2/andrews1-1785-2#sTok7243	any	any	Q	salt:/ppcmbe2/andrews1-1785-2#structure4242	in any country whatever	PP	salt:/ppcmbe2/andrews1-1785-2#structure4243	any country whatever	NP	salt:/ppcmbe2/andrews1-1785-2#sTok7244	country	country	N	Andrews, John 	b. 1736, d. 1809 	1785-1786 	andrews1-1785 	HISTORY 	n/a 
