"id";"q_token";"q_lemma";"lemma";"text";"genre";"dialect";"plural";"singular";"count";"semantics";"orig";"oe reflex";"oe class";"oe stem";"oe gender";"period_simple";"period_sorted";"period_main"
"18272129";"euch";"each";"bliss";"CMKATHE";"";"WMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18276292";"al";"all";"bliss";"CMKATHE";"";"WMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18353518";"al";"all";"bliss";"CMKEMPE";"";"EMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m4";"h_m4";"b_me"
"18421022";"mycele";"much";"bliss";"cmkentho.m1";"Homilies";"Kentish";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18441791";"muchele";"much";"bliss";"CMLAMBET";"";"WMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18446515";"muchele";"much";"bliss";"CMLAMBET";"";"WMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18464557";"muchlere";"much";"bliss";"CMLAMBET";"";"WMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18469677";"alle";"all";"bliss";"CMLAMBET";"";"WMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18474136";"nane";"no";"bliss";"CMLAMBET";"";"WMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18879334";"eche";"each";"bliss";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18879482";"eche";"each";"bliss";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18880133";"all";"all";"bliss";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18880258";"all";"all";"bliss";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18886951";"eche";"each";"bliss";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18913896";"mikell";"much";"bliss";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18921134";"mikell";"much";"bliss";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18926374";"All";"all";"bliss";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18930601";"all";"all";"bliss";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19029179";"litel";"little";"bliss";"CMPETERB";"";"EMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19333652";"ei";"each";"bliss";"CMSAWLES";"";"WMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19377855";"muchele";"much";"bliss";"CMTRINIT";"";"EMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19378020";"muchele";"much";"bliss";"CMTRINIT";"";"EMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19409345";"michele";"much";"bliss";"CMTRINIT";"";"EMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19417143";"michel";"much";"bliss";"CMTRINIT";"";"EMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19433608";"michel";"much";"bliss";"CMTRINIT";"";"EMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19455481";"alle";"all";"bliss";"CMVICES1";"";"EMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19484427";"michele";"much";"bliss";"CMVICES1";"";"EMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19504552";"nan";"no";"bliss";"CMVICES1";"";"EMO";0;1;"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"17219288";"no";"no";"blood";"CMAELR3";"";"SL";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m2";"f_m2";"b_me"
"17695577";"mech";"much";"blood";"CMCAPCHR";"";"EML";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"17915822";"no";"no";"blood";"CMCTPROS";"";"EML";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18281146";"al";"all";"blood";"CMKATHE";"";"WMO";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m1";"e_m1";"b_me"
"18492148";"no";"no";"blood";"CMMALORY";"";"WML";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"18517176";"muche";"much";"blood";"CMMALORY";"";"WML";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"18519578";"no";"no";"blood";"CMMALORY";"";"WML";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"18533156";"no";"no";"blood";"CMMALORY";"";"WML";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"18678929";"all";"all";"blood";"CMMANDEV";"";"EML";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18678976";"all";"all";"blood";"CMMANDEV";"";"EML";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18697383";"no";"no";"blood";"CMMANDEV";"";"EML";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
