"corpus";"id";"det";"det_lemma";"context";"context_pos";"noun";"noun_lemma";"noun_pos";"Author";"Birthdate";"Date_of_composition";"Filename";"Genre";"Manuscript";"composition_year";"period_simple";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1703";"the";"the";"to the naked eye";"PP";"eye";"eye";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"eage";"Strong";"A-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1839";"a";"a";"and a filmy substance between them";"CONJP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1989";"the";"the";"of the tree above ground";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok2063";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok2087";"the";"the";"in the deciduous trees";"PP";"trees";"tree";"NS";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok2117";"the";"the";"of the earth";"PP";"earth";"earth";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"eorþe";"Weak";"N-Stem";"F"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok2240";"the";"the";"in the seed";"PP";"seed";"seed";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"G";"seed";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok2317";"this";"this";"in this manner";"PP";"manner";"manner";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"a";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok2424";"the";"the";"of the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok2460";"A";"a";"A tree may grow , live , and give shade without them ;";"IP-MAT-1";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok2598";"a";"a";"On taking off the rind , we find a substance of a deep green colour , succulent and herbaceous , formed of a prodigious number <P_660> of filaments , interwoven together in various directions ;";"IP-MAT";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok2964";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok3011";"the";"the";"of the seed";"PP";"seed";"seed";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"G";"seed";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok3023";"a";"a";"of a tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok3144";"the";"the";"By the bark the tree is fed with a continual supply of moisture";"IP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok3273";"the";"the";"into the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok3293";"the";"the";"*T*-3 split as 0 it were the substance of both those parts , a circumstance which 0 *T*-4 accounts for the vegetation of some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life";"IP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok3335";"the";"the";"of the same substance";"PP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok3548";"this";"this";"afterwards this pulpy matter";"IP";"matter";"matter";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok3576";"the";"the";"by the naked eye";"PP";"eye";"eye";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"eage";"Strong";"A-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok3832";"this";"this";"In this manner";"PP";"manner";"manner";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"a";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok3884";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4089";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4125";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4172";"the";"the";"near the wood";"ADJP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4181";"a";"a";"a parenchymous substance or the cellular tissue , which 0 *T*-1 being continued from the wood to the rind , joins and unites the cortical stratum , and *T*-1 afterwards spreading on the outside thereof , forms what 0 *T*-2 has been termed *-3 the cellular coat";"NP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4195";"the";"the";"from the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4246";"the";"the";"of the substance which 0 *T*-1 fills up the vacant spaces 0 that *T*-2 are left between the longitudinal fibres";"PP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4360";"The";"the";"The flesh of fruits consists for the most part of this substance , very much filled with juice , though with considerable difference in it's organization .";"IP-MAT";"flesh";"flesh";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"flæsc";"Strong";"I-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4370";"this";"this";"of this substance , very much filled with juice";"PP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4401";"this";"this";"of this substance";"PP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
