"id";"q_token";"q_form";"q_lemma";"context";"token";"lemma";"plural";"singular";"author";"period";"dialect";"filename";"genre";"verse_or_prose";"foreign_original";"relationship_to_spoken_language";"prototypicaltext_category";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender";"period_simple";"period_sorted";"period_main"
"19058894";"meny";"meny";"many";"to fore <P_VI,163> meny bisshoppes";"bisshoppes";"bishop";"1";"";"TREVISA JOHN";"M3";"SL";"CMPOLYCH";"";"PROSE";"LATIN";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m3";"g_m3";"b_me"
"19120398";"meny";"meny";"many";"wiþ meny bisshoppes";"bisshoppes";"bishop";"1";"";"TREVISA JOHN";"M3";"SL";"CMPOLYCH";"";"PROSE";"LATIN";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m3";"g_m3";"b_me"
"19369114";"no";"no";"no";"ne no bissop";"bissop";"bishop";"";"1";"X";"MX/1";"EMO";"CMTRINIT";"";"PROSE";"X";"WRITTEN";"INSTR REL";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m1";"e_m1";"b_me"
"19388469";"ech";"ech";"each";"Swo do+d to dai ech bishup . 0 þe *T*-1 in his minister be+d . *T*-1 driue+d ut þo forsinegede men . 0 þe *T*-2 habbe+d þo sinnes *ICH*-4 don ; 0 þe *T*-3 biligge+d to here shrifte . and *T*-2 shulen don here penitence ; forte þene þuresdai biforen estrene dai .";"bishup";"bishop";"";"1";"X";"MX/1";"EMO";"CMTRINIT";"";"PROSE";"X";"WRITTEN";"INSTR REL";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m1";"e_m1";"b_me"
"17230179";"al";"al";"all";"*T*-5 ȝift al is iȝoue blisse and þank";"blisse";"bliss";"";"1";"X";"M2/3";"SL";"CMAELR3";"";"PROSE";"LATIN";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m2";"f_m2";"b_me"
"17231824";"al";"al";"all";"in al his blisse";"blisse";"bliss";"";"1";"X";"M2/3";"SL";"CMAELR3";"";"PROSE";"LATIN";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m2";"f_m2";"b_me"
"17269222";"uch";"uch";"each";"of uch blisse utewi+d";"blisse";"bliss";"";"1";"X";"M1";"WMO";"CMANCRIW";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"17290709";"alle";"alle";"all";"for leosen alle þe o+dere blissen of þis lif . for to cluppen blisfulliche þi blisful leofmon $i $þe {TEXT:iþe} eche lif of heouene";"blissen";"bliss";"1";"";"X";"M1";"WMO";"CMANCRIW";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"17317808";"Alle";"alle";"all";"Alle blisse halde+d *ICH*-1 $it {TEXT:bit_with_b_subpuncted} to fallen $in $misliche {TEXT:inmisliche} of þeose fondinges 0 þt *T*-3 *-4 uttere beo+d ihaten .";"blisse";"bliss";"";"1";"X";"M1";"WMO";"CMANCRIW";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"17369771";"Al";"al";"all";"Al ure blisse mot beon in Iesu cristes rode .";"blisse";"bliss";"";"1";"X";"M1";"WMO";"CMANCRIW";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
