"lemma","analysis_period","q_many_n","q_many_total","number_plural_n","number_plural_total","det_a_n","det_a_total","q_plural_n","q_plural_total","det_plural_n","det_plural_total","semantics","q_many_prop","q_many_prop_smoothed","q_many_logit_smoothed","number_plural_prop","number_plural_prop_smoothed","number_plural_logit_smoothed","det_a_prop","det_a_prop_smoothed","det_a_logit_smoothed","q_plural_prop","q_plural_prop_smoothed","q_plural_logit_smoothed","det_plural_prop","det_plural_prop_smoothed","det_plural_logit_smoothed","has_q_many","has_number_plural","has_det_a","complete_primary","min_primary_total","primary_total"
"salt","k_l2",0,0,15,43,0,3,1,3,1,4,"s",,0.5,0,0.348837209302326,0.352272727272727,-0.609064063349404,0,0.125,-1.94591014905531,0.333333333333333,0.375,-0.510825623765991,0.25,0.3,-0.847297860387204,FALSE,TRUE,TRUE,FALSE,0,46
"seed","k_l2",1,1,46,91,0,10,4,4,19,29,"s",1,0.75,1.09861228866811,0.505494505494505,0.505434782608696,0.021739986636406,0,0.0454545454545455,-3.04452243772342,1,0.9,2.19722457733622,0.655172413793103,0.65,0.619039208406224,TRUE,TRUE,TRUE,TRUE,1,102
"ship","k_l2",1,1,75,250,14,97,12,40,21,127,"c",1,0.75,1.09861228866811,0.3,0.300796812749004,-0.843506386650941,0.144329896907216,0.147959183673469,-1.75069798243028,0.3,0.304878048780488,-0.824175442966349,0.165354330708661,0.16796875,-1.60009205001586,TRUE,TRUE,TRUE,TRUE,1,348
"silver","k_l2",0,0,0,35,1,8,0,1,0,8,"s",,0.5,0,0,0.0138888888888889,-4.26267987704132,0.125,0.166666666666667,-1.6094379124341,0,0.25,-1.09861228866811,0,0.0555555555555556,-2.83321334405622,FALSE,TRUE,TRUE,FALSE,0,43
"sin","k_l2",0,0,36,116,2,7,2,8,6,15,"a",,0.5,0,0.310344827586207,0.311965811965812,-0.790944923836072,0.285714285714286,0.3125,-0.78845736036427,0.25,0.277777777777778,-0.955511445027436,0.4,0.40625,-0.379489621704904,FALSE,TRUE,TRUE,FALSE,0,123
"son","k_l2",0,0,111,401,26,129,1,1,34,167,"c",,0.5,0,0.276807980049875,0.277363184079602,-0.957578985391793,0.201550387596899,0.203846153846154,-1.36242687971325,1,0.75,1.09861228866811,0.203592814371257,0.205357142857143,-1.35314215380299,FALSE,TRUE,TRUE,FALSE,0,530
"soul","k_l2",0,0,22,122,12,32,0,7,3,35,"a",,0.5,0,0.180327868852459,0.182926829268293,-1.49664241828876,0.375,0.378787878787879,-0.494696241836107,0,0.0625,-2.70805020110221,0.0857142857142857,0.0972222222222222,-2.22847712084032,FALSE,TRUE,TRUE,FALSE,0,154
"stone","k_l2",0,0,28,83,12,26,1,2,8,34,"c",,0.5,0,0.337349397590361,0.339285714285714,-0.666478933477784,0.461538461538462,0.462962962962963,-0.148420005118273,0.5,0.5,0,0.235294117647059,0.242857142857143,-1.13707856949591,FALSE,TRUE,TRUE,FALSE,0,109
"substance","k_l2",0,0,13,68,11,33,1,7,3,39,"s",,0.5,0,0.191176470588235,0.195652173913043,-1.41369333530801,0.333333333333333,0.338235294117647,-0.67116827384117,0.142857142857143,0.1875,-1.46633706879343,0.0769230769230769,0.0875,-2.34454929209308,FALSE,TRUE,TRUE,FALSE,0,101
"tree","k_l2",2,2,234,364,39,104,36,44,70,177,"c",1,0.833333333333333,1.6094379124341,0.642857142857143,0.642465753424658,0.586082361123586,0.375,0.376190476190476,-0.50574947073413,0.818181818181818,0.811111111111111,1.45724609709218,0.395480225988701,0.396067415730337,-0.421878137749494,TRUE,TRUE,TRUE,TRUE,2,470
