1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Date	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
18189916	nan	Q	X	'NULL'	MO	CMHALI	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	18189914	Ne mei nan uuel hearmi +te .	IP-MAT	18189917	nan uuel	NP	18189918	uuel	N	18189918	uuel	N	18189917	nan uuel	NP	18189917	nan uuel	NP
18202665	nan	Q	X	'NULL'	MO	CMHALI	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	18202661	Ne +tunche +te nan uuel of * .	IP-IMP	18202666	nan uuel of *	NP	18202667	uuel	N	18202667	uuel	N	18202666	nan uuel of *	NP	18202666	nan uuel of *	NP
18216867	myche	Q	HILTON WALTER	'NULL'	EMO	CMHILTON	X	'NULL'	M3/4	INSTR REL	WRITTEN	'NULL'	PROSE	18216864	*T*-1 seme+t not myche yuel	IP	18216868	myche yuel	NP	18216869	yuel	N	18216869	yuel	N	18216868	myche yuel	NP	18216868	myche yuel	NP
18219069	many	Q	X	'NULL'	SO	CMHORSES	X	'NULL'	M3	INSTR SEC	WRITTEN	'NULL'	PROSE	18219064	*T*-2 an hors take+t many euelis	IP	18219070	many euelis	NP	18219071	euelis	NS	18219071	euelis	NS	18219070	many euelis	NP	18219070	many euelis	NP
18219418	Many	Q	X	'NULL'	SO	CMHORSES	X	'NULL'	M3	INSTR SEC	WRITTEN	'NULL'	PROSE	18219419	Many euelus come+t on hors 0 +tat *T*-1 bledu+t not in tyme +trou+g +tat kynde of +tat euel blod 0 +tat *T*-2 gendre+t in his bodi +tat is to say +te farcioun . 0 +tat *T*-3 in his skyn bore+t many an hole . schale & mangew . & turtes & many o+ter euellis 0 +tat *T*-4 I schal here afturward nemyny as 0 +tei gendre+t in +te bodi of here owene kynde . And nameliche of +tese euelus 0 +tat *T*-5 oon hors may cacche of an-o+ter 0 +tat he stondu+t bi *T*-6 .	IP-MAT	18219420	Many euelus	NP	18219421	euelus	NS	18219421	euelus	NS	18219420	Many euelus	NP	18219420	Many euelus	NP
18219499	many	Q	X	'NULL'	SO	CMHORSES	X	'NULL'	M3	INSTR SEC	WRITTEN	'NULL'	PROSE	18219498	& many o+ter euellis 0 +tat *T*-4 I schal here afturward nemyny as 0 +tei gendre+t in +te bodi of here owene kynde	CONJP	18219500	many o+ter euellis 0 +tat *T*-4 I schal here afturward nemyny as 0 +tei gendre+t in +te bodi of here owene kynde	NP	18219502	euellis	NS	18219502	euellis	NS	18219500	many o+ter euellis 0 +tat *T*-4 I schal here afturward nemyny as 0 +tei gendre+t in +te bodi of here owene kynde	NP	18219500	many o+ter euellis 0 +tat *T*-4 I schal here afturward nemyny as 0 +tei gendre+t in +te bodi of here owene kynde	NP
18246342	euch	Q	X	'NULL'	WMO	CMJULIA	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	18246327	leafdi +gef 0 +ti wil is . he ifint euch uuel	IP-MAT-SPE	18246343	euch uuel	NP	18246344	uuel	N	18246344	uuel	N	18246343	euch uuel	NP	18246343	euch uuel	NP
18248134	al	Q	X	'NULL'	WMO	CMJULIA	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	18248133	of al +tt uuel i +te world	PP	18248135	al +tt uuel i +te world	NP	18248137	uuel	N	18248137	uuel	N	18248135	al +tt uuel i +te world	NP	18248135	al +tt uuel i +te world	NP
18266943	euch	Q	X	'NULL'	WMO	CMKATHE	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	18266941	*T*-1 finde+d euch uuel	IP	18266944	euch uuel	NP	18266945	uuel	N	18266945	uuel	N	18266944	euch uuel	NP	18266944	euch uuel	NP
18283264	alle	Q	X	'NULL'	WMO	CMKATHE	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	18283233	hwider se 0 *T*-1 me eauer bere+d ham & hwer-se 0 *T*-2 ha beo+d ihalden +tt heale+d alle uueles	IP-MAT	18283265	alle uueles	NP	18283266	uueles	N	18283266	uueles	N	18283265	alle uueles	NP	18283265	alle uueles	NP
18347724	mech	Q	KEMPE MARGERY	'NULL'	EMO	CMKEMPE	X	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	18347721	& *con* seyd mech euyl of hir ,	IP-MAT	18347725	mech euyl	NP	18347726	euyl	N	18347726	euyl	N	18347725	mech euyl	NP	18347725	mech euyl	NP
