1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17866352	no	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17866353	no good werk be lost	IP	17866354	no good werk	NP	17866356	werk	N	17866356	werk	N	17866354	no good werk	NP	17866354	no good werk	NP
17866429	alle	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17866430	alle the goode werkes 0 that *T*-2 men doon whil 0 They been in deedly synne been outrely dede as for to have the lyf perdurable	IP	17866431	alle the goode werkes 0 that *T*-2 men doon whil 0 They been in deedly synne	NP	17866434	werkes	NS	17866434	werkes	NS	17866431	alle the goode werkes 0 that *T*-2 men doon whil 0 They been in deedly synne	NP	17866431	alle the goode werkes 0 that *T*-2 men doon whil 0 They been in deedly synne	NP
17866483	no	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17866482	*T*-3 no good werk ne dooth	IP	17866484	no good werk	NP	17866486	werk	N	17866486	werk	N	17866484	no good werk	NP	17866484	no good werk	NP
17887405	alle	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17887397	the mercy of God passeth alle his werkes	IP	17887406	alle his werkes	NP	17887408	werkes	NS	17887408	werkes	NS	17887406	alle his werkes	NP	17887406	alle his werkes	NP
17892024	manye	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17892023	Do manye goode werkes	IP	17892025	manye goode werkes	NP	17892027	werkes	NS	17892027	werkes	NS	17892025	manye goode werkes	NP	17892025	manye goode werkes	NP
17894628	anye	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17894626	to werke anye goode werkes	IP	17894629	anye goode werkes	NP	17894631	werkes	NS	17894631	werkes	NS	17894629	anye goode werkes	NP	17894629	anye goode werkes	NP
17895114	alle	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17895113	aboven alle his werkes	PP	17895115	alle his werkes	NP	17895117	werkes	NS	17895117	werkes	NS	17895115	alle his werkes	NP	17895115	alle his werkes	NP
17896348	any	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17896345	he biginneth any good werk	IP	17896349	any good werk	NP	17896351	werk	N	17896351	werk	N	17896349	any good werk	NP	17896349	any good werk	NP
17896633	no	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17896632	in no good werk	PP	17896634	no good werk	NP	17896636	werk	N	17896636	werk	N	17896634	no good werk	NP	17896634	no good werk	NP
17919265	alle	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17919264	and alle his werkes	CONJP	17919266	alle his werkes	NP	17919268	werkes	NS	17919268	werkes	NS	17919266	alle his werkes	NP	17919266	alle his werkes	NP
17939120	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	17939119	and alle hys werkes ben in fai+te .	IP-MAT	17939121	alle hys werkes	NP	17939123	werkes	NS	17939123	werkes	NS	17939121	alle hys werkes	NP	17939121	alle hys werkes	NP
17939517	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	17939515	*T*-3 vnderstonde+t alle her werkes	IP	17939518	alle her werkes	NP	17939520	werkes	NS	17939520	werkes	NS	17939518	alle her werkes	NP	17939518	alle her werkes	NP
17970077	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	17970076	in alle +tyne werkes	PP	17970078	alle +tyne werkes	NP	17970080	werkes	NS	17970080	werkes	NS	17970078	alle +tyne werkes	NP	17970078	alle +tyne werkes	NP
17988058	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	17988056	+Ge alle werke of our Lord , blisce+t our Lord in alle stedes of his lordship ;	IP-IMP	17988057	+Ge alle werke of our Lord	NP	17988059	werke	N	17988059	werke	N	17988057	+Ge alle werke of our Lord	NP	17988057	+Ge alle werke of our Lord	NP
18013875	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	18013874	in alle +tin werkes	PP	18013876	alle +tin werkes	NP	18013878	werkes	NS	18013878	werkes	NS	18013876	alle +tin werkes	NP	18013876	alle +tin werkes	NP
