1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17993511	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	17993510	and alle her wisdomes is deuoured .	IP-MAT	17993512	alle her wisdomes	NP	17993514	wisdomes	NS	17993514	wisdomes	NS	17993512	alle her wisdomes	NP	17993512	alle her wisdomes	NP
18416871	eall	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18416866	inne hire lutede eall Godes wisedom	IP	18416872	eall Godes wisedom	NP	18416874	wisedom	N	18416874	wisedom	N	18416872	eall Godes wisedom	NP	18416872	eall Godes wisedom	NP
18474369	nane	Q	X	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18474368	to nane wisdome	PP	18474370	nane wisdome	NP	18474371	wisdome	N	18474371	wisdome	N	18474370	nane wisdome	NP	18474370	nane wisdome	NP
19180257	myche	Q	PURVEY JOHN	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19180254	and *con* techen myche wijsdom and prudence , for the soule and the body .	IP-MAT	19180258	myche wijsdom and prudence	NP	19180259	wijsdom	N	19180259	wijsdom	N	19180258	myche wijsdom and prudence	NP	19180258	myche wijsdom and prudence	NP
19181091	myche	Q	PURVEY JOHN	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19181072	Thou+g 0 Ecclesiastici be no book of bileeue , it techith myche wisdom and prudence for soule and body ,	IP-MAT	19181092	myche wisdom and prudence for soule and body	NP	19181093	wisdom	N	19181093	wisdom	N	19181092	myche wisdom and prudence for soule and body	NP	19181092	myche wisdom and prudence for soule and body	NP
19275111	al	Q	Richard Rolle	Northern (Yorkshire?)	cmrollep.m24	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	PROSE	19275110	for al +tar wysdom +tai spyll in covayties and bisynes abowte +te world .	IP-MAT	19275112	al +tar wysdom	NP	19275114	wysdom	N	19275114	wysdom	N	19275112	al +tar wysdom	NP	19275112	al +tar wysdom	NP
19317850	all	Q	X	SL	CMROYAL	X	'NULL'	M3/4	INSTR REL	X	'NULL'	PROSE	19317849	*T*-1 all wisdome is apropred , as 0 0 *T*-2 Seynt Poule se+t	IP	19317851	all wisdome	NP	19317852	wisdome	N	19317852	wisdome	N	19317851	all wisdome	NP	19317851	all wisdome	NP
19469960	+alle	Q	X	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19469959	and +alle wisdomes	CONJP	19469961	+alle wisdomes	NP	19469962	wisdomes	NS	19469962	wisdomes	NS	19469961	+alle wisdomes	NP	19469961	+alle wisdomes	NP
