1_id;1_span;1_span_lemma;1_anno_ptb::pos;2_id;2_span;2_span_lemma;2_anno_ptb::pos;3_id;3_span;3_anno_ptb::cat;meta_Cameron_number;meta_DOE_short_title;meta_Dialect;meta_Edition;meta_Genre;meta_Latin_translation;meta_Manuscript;meta_Manuscript_date;meta_Remarks;meta_Sawyer_number;meta_Word_count;meta_filename;meta_period;meta_text_name;PDE word
salt:/ycoe/cobede.o2#sTok3629;biscopum;bisceop;N^D;salt:/ycoe/cobede.o2#sTok3628;gehwylcum;ge-hwylc;Q^D;salt:/ycoe/cobede.o2#structure2245;gehwylcum biscopum;NP;B9.6;Bede;West Saxon/Anglian;"Miller, Thomas. 1959-1963 (1890-1898). ""The Old English Version of ""Bede's Ecclesiastical History of the English People""."" EETS 95, 96, 110, 111. London: OUP.";History;Yes;Cambridge, University Library Kk.3.18;s. xi2;;;80,767;cobede.o2;o2;Bede's History of the English Church;bishop
salt:/ycoe/cobede.o2#sTok14374;biscopas;bisceop;N^A;salt:/ycoe/cobede.o2#sTok14372;Alle;eal;Q^A;salt:/ycoe/cobede.o2#structure8534;Alle Bretta biscopas;NP;B9.6;Bede;West Saxon/Anglian;"Miller, Thomas. 1959-1963 (1890-1898). ""The Old English Version of ""Bede's Ecclesiastical History of the English People""."" EETS 95, 96, 110, 111. London: OUP.";History;Yes;Cambridge, University Library Kk.3.18;s. xi2;;;80,767;cobede.o2;o2;Bede's History of the English Church;bishop
salt:/ycoe/cobede.o2#sTok35919;biscop;bisceop;N^N;salt:/ycoe/cobede.o2#sTok35918;sum;sum;Q^N;salt:/ycoe/cobede.o2#structure21173;sum biscop *ICH*-2;NP;B9.6;Bede;West Saxon/Anglian;"Miller, Thomas. 1959-1963 (1890-1898). ""The Old English Version of ""Bede's Ecclesiastical History of the English People""."" EETS 95, 96, 110, 111. London: OUP.";History;Yes;Cambridge, University Library Kk.3.18;s. xi2;;;80,767;cobede.o2;o2;Bede's History of the English Church;bishop
salt:/ycoe/cobede.o2#sTok53890;biscopum;bisceop;N^D;salt:/ycoe/cobede.o2#sTok53889;monigum;manig;Q^D;salt:/ycoe/cobede.o2#structure31528;monigum biscopum;NP;B9.6;Bede;West Saxon/Anglian;"Miller, Thomas. 1959-1963 (1890-1898). ""The Old English Version of ""Bede's Ecclesiastical History of the English People""."" EETS 95, 96, 110, 111. London: OUP.";History;Yes;Cambridge, University Library Kk.3.18;s. xi2;;;80,767;cobede.o2;o2;Bede's History of the English Church;bishop
salt:/ycoe/cobede.o2#sTok54134;biscop;bisceop;N^N;salt:/ycoe/cobede.o2#sTok54133;ænig;ǽnig;Q^N;salt:/ycoe/cobede.o2#structure31672;ænig biscop buton þam Wine *ICH*-2;NP;B9.6;Bede;West Saxon/Anglian;"Miller, Thomas. 1959-1963 (1890-1898). ""The Old English Version of ""Bede's Ecclesiastical History of the English People""."" EETS 95, 96, 110, 111. London: OUP.";History;Yes;Cambridge, University Library Kk.3.18;s. xi2;;;80,767;cobede.o2;o2;Bede's History of the English Church;bishop
salt:/ycoe/cobede.o2#sTok60999;biscopas;bisceop;N^N;salt:/ycoe/cobede.o2#sTok60997;ealle;eal;Q^N;salt:/ycoe/cobede.o2#structure35831;ealle þa biscopas;NP;B9.6;Bede;West Saxon/Anglian;"Miller, Thomas. 1959-1963 (1890-1898). ""The Old English Version of ""Bede's Ecclesiastical History of the English People""."" EETS 95, 96, 110, 111. London: OUP.";History;Yes;Cambridge, University Library Kk.3.18;s. xi2;;;80,767;cobede.o2;o2;Bede's History of the English Church;bishop
salt:/ycoe/cobede.o2#sTok90515;bisscopas;bisceop;N^A;salt:/ycoe/cobede.o2#sTok90514;monge;manig;Q^A;salt:/ycoe/cobede.o2#structure53157;monge bisscopas ða 0 *T*-1 he gehalgade;NP;B9.6;Bede;West Saxon/Anglian;"Miller, Thomas. 1959-1963 (1890-1898). ""The Old English Version of ""Bede's Ecclesiastical History of the English People""."" EETS 95, 96, 110, 111. London: OUP.";History;Yes;Cambridge, University Library Kk.3.18;s. xi2;;;80,767;cobede.o2;o2;Bede's History of the English Church;bishop
salt:/ycoe/cobede.o2#sTok93470;bisscopas;bisceop;N^A;salt:/ycoe/cobede.o2#sTok93468;monige;manig;Q^A;salt:/ycoe/cobede.o2#structure54929;monige oðre bisscopas;NP;B9.6;Bede;West Saxon/Anglian;"Miller, Thomas. 1959-1963 (1890-1898). ""The Old English Version of ""Bede's Ecclesiastical History of the English People""."" EETS 95, 96, 110, 111. London: OUP.";History;Yes;Cambridge, University Library Kk.3.18;s. xi2;;;80,767;cobede.o2;o2;Bede's History of the English Church;bishop
salt:/ycoe/cobede.o2#sTok101942;bysceopas;bisceop;N^N;salt:/ycoe/cobede.o2#sTok101941;monige;manig;Q^N;salt:/ycoe/cobede.o2#structure59910;monige bysceopas;NP;B9.6;Bede;West Saxon/Anglian;"Miller, Thomas. 1959-1963 (1890-1898). ""The Old English Version of ""Bede's Ecclesiastical History of the English People""."" EETS 95, 96, 110, 111. London: OUP.";History;Yes;Cambridge, University Library Kk.3.18;s. xi2;;;80,767;cobede.o2;o2;Bede's History of the English Church;bishop
salt:/ycoe/cocanedgX#sTok2212;bisceop;bisceop;N^N;salt:/ycoe/cocanedgX#sTok2211;hwylc;hwilc;Q^N;salt:/ycoe/cocanedgX#structure1430;hwylc bisceop oððe mæssepreost;NP;B13.1.1.2;WCan 1.1.2;West Saxon;"Fowler, Roger. 1972. ""Wulfstan's Canons of Edgar."" EETS 266. London: OUP.";Ecclesiastical laws;No;Oxford, Bodleian, Junius 121;xi 3rd quarter;;;2,118;cocanedgX;?;Canons of Edgar;bishop
